Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Daiane_wifiandranet;64:66:B3:F9:A3:14;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;142;0;17;0;0;17;;;Wed Mar 20 22:49:15 2019;Wed Mar 20 23:03:24 2019;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Repetidor Quarto;58:10:8C:80:10:14;;10;No;WPA2,AES-CCM;No;54.0;0;175;0;11;0;0;11;;;Wed Mar 20 22:49:14 2019;Wed Mar 20 23:04:26 2019;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ANDRA_E6A2;00:1A:3F:FD:E6:A2;;11;No;WPA2,AES-CCM;No;54.0;0;85;0;0;0;0;0;;;Wed Mar 20 22:49:22 2019;Wed Mar 20 23:04:26 2019;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Wireless-N;80:3F:5D:93:C8:F3;;5;No;WPA2,AES-CCM;No;54.0;0;434;0;52;0;0;52;;;Wed Mar 20 22:49:14 2019;Wed Mar 20 23:04:26 2019;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Wifiandranet_Joao;C4:A8:1D:2F:54:86;;6;No;WPA2,AES-CCM;No;54.0;0;302;0;0;0;0;0;;;Wed Mar 20 22:49:14 2019;Wed Mar 20 23:04:27 2019;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ANDRA_6E89;00:1A:3F:F0:6E:89;;10;No;WPA2,AES-CCM;No;54.0;0;490;0;301;0;0;301;;;Wed Mar 20 22:49:14 2019;Wed Mar 20 23:04:26 2019;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ANDRA_3CF9;00:1A:3F:84:3C:F9;;1;No;WPA2,AES-CCM;No;54.0;0;593;0;20;0;0;20;;;Wed Mar 20 22:49:11 2019;Wed Mar 20 23:04:27 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;BrunoWiFi;6C:19:8F:55:B3:6F;;5;No;WPA2,AES-CCM;No;54.0;0;505;0;3501;0;0;3501;;;Wed Mar 20 22:49:14 2019;Wed Mar 20 23:04:26 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;cladia_wifiandranet;00:1A:3F:A1:3B:60;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;575;0;3022;0;0;3022;;;Wed Mar 20 22:49:14 2019;Wed Mar 20 23:04:27 2019;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ANDRA_E698;00:1A:3F:FD:E6:98;;1;No;WPA2,AES-CCM;No;54.0;0;655;0;1535;0;0;1535;;;Wed Mar 20 22:49:11 2019;Wed Mar 20 23:04:27 2019;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
